First Name,Last Name,Jersey Number,Team,Games Played,Plate Appearances,Innings Pitched,Batting Average,Batting Average (rank),Quality At-Bats,Quality At-Bats (rank),Runs Batted In,Runs Batted In (rank),Hits,Hits (rank),On-base Percentage,On-base Percentage (rank),Slugging Percentage,Slugging Percentage (rank),On-base Percentage + Slugging Percentage,On-base Percentage + Slugging Percentage (rank),Doubles,Doubles (rank),Triples,Triples (rank),Home Runs,Home Runs (rank),Earned Run Average,Earned Run Average (rank),Wins,Wins (rank),Strikeouts,Strikeouts (rank),Walks Hits Innings Pitched,Walks Hits Innings Pitched (rank),Batting Average Against,Batting Average Against (rank),Fielding Percentage,Fielding Percentage (rank),Putouts,Putouts (rank)
Connor,Mundy,2,Iron Pigs - BRC A,3,12,0,0.364,26,2,51,3,21,4,19,0.417,48,0.364,32,0.780,42,0,21,0,7,0,2,,,,,,,,,,,1.000,1,4,22
Tyson,Sze,8,Iron Pigs - BRC A,3,8,0,0.333,27,7,17,2,31,2,34,0.500,36,0.333,34,0.833,40,0,21,0,7,0,2,,,,,,,,,,,0.889,29,6,15
Lachlan,Gillett,9,Iron Pigs - BRC A,4,14,5,0.600,9,11,3,1,42,6,6,0.714,7,0.900,3,1.614,3,1,7,1,2,0,2,23.80,10,,,9,3,5.00,10,0.552,10,1.000,1,7,12
Simon,Watt,5,Iron Pigs - BRC A,4,13,2,0.182,50,5,34,3,21,2,34,0.308,53,0.182,50,0.490,53,0,21,0,7,0,2,0.00,,,,3,,2.00,,0.333,,1.000,1,11,6
Graeme,Duncan,14,Iron Pigs - BRC A,4,10,0,0.571,11,6,22,5,9,4,19,0.700,11,0.714,9,1.414,10,1,7,0,7,0,2,,,,,,,,,,,,,,
Finn,Thorburn,28,Iron Pigs - BRC A,4,10,2,0.429,21,6,22,6,5,3,25,0.600,23,0.571,19,1.171,20,1,7,0,7,0,2,21.00,,,,2,,4.71,,0.222,,0.857,34,5,19
Carson,Shumay,3,Iron Pigs - BRC A,3,8,3,0.429,21,4,44,2,31,3,25,0.500,36,0.429,26,0.929,32,0,21,0,7,0,2,2.33,,,,0,,2.33,,0.250,,0.800,37,4,22
Edward,Hinchliffe,31,Iron Pigs - BRC A,4,11,2,0.500,14,6,22,3,21,4,19,0.636,19,0.625,15,1.261,16,1,7,0,7,0,2,49.00,,0,,2,,9.00,,0.625,,0.667,43,2,29
Oliver,Doucette,16,Iron Pigs - BRC A,4,9,1,0.625,6,3,47,4,15,5,11,0.667,17,0.750,7,1.417,8,1,7,0,7,0,2,36.75,,0,,4,,5.25,,0.333,,0.889,29,6,15
Jackson,Kelly,22,Iron Pigs - BRC A,4,8,0,0.333,27,6,22,2,31,1,45,0.750,5,0.333,34,1.083,22,0,21,0,7,0,2,,,,,,,,,,,1.000,1,2,29
Mason,Suecroft,21,Iron Pigs - BRC A,3,8,2,0.286,35,2,51,2,31,2,34,0.375,51,0.286,41,0.661,48,0,21,0,7,0,2,18.00,,,,4,,4.71,,0.571,,1.000,1,1,37
Bray,Nelson,13,Iron Pigs - BRC A,3,8,0,0.000,53,5,34,1,42,0,53,0.500,36,0.000,53,0.500,52,0,21,0,7,0,2,,,,,,,,,,,1.000,1,2,29
Lincoln,Choy,12,Iron Pigs - BRC A,3,11,1,0.286,35,5,34,2,31,2,34,0.545,32,0.429,26,0.974,29,1,7,0,7,0,2,21.00,,,,1,,3.60,,0.444,,1.000,1,1,37
Jaxon,Bateman,15,Iron Pigs - BRC A,1,3,0,0.500,,2,,0,,1,,0.667,,1.000,,1.667,,1,,0,,0,,,,,,,,,,,,1.000,,2,
Jaxen,Hope,3,Rock Hounds - BRC A,4,13,1,0.714,2,9,7,4,15,5,11,0.846,1,0.714,9,1.560,5,0,21,0,7,0,2,70.00,,,,1,,10.00,,0.667,,0.857,34,1,37
Haiden,Barrows,37,Rock Hounds - BRC A,5,16,0,0.333,27,6,22,1,42,4,19,0.500,36,0.417,29,0.917,33,1,7,0,7,0,2,,,,,0,,,,0.667,,0.941,24,14,4
Dylan,Trent,27,Rock Hounds - BRC A,5,18,1,0.438,20,9,7,7,2,7,3,0.500,36,0.500,21,1.000,28,1,7,0,7,0,2,8.40,,1,,2,,5.40,,0.429,,1.000,1,5,19
Ethan,Brosens,12,Rock Hounds - BRC A,5,15,6,0.583,10,6,22,4,15,7,3,0.667,17,0.750,7,1.417,8,2,1,0,7,0,2,11.05,6,0,2,11,1,3.00,6,0.095,1,1.000,1,9,8
Declan,Flexhaug,5,Rock Hounds - BRC A,5,14,0,0.250,43,6,22,3,21,3,25,0.357,52,0.417,29,0.774,43,2,1,0,7,0,2,94.50,,,,2,,16.50,,0.727,,1.000,1,1,37
Caleb,Dobay,7,Rock Hounds - BRC A,5,17,5,0.273,41,10,4,0,50,3,25,0.529,34,0.364,32,0.893,35,1,7,0,7,0,2,12.60,7,,,5,7,3.00,6,0.286,5,0.667,43,6,15
Lawson,Quinn,18,Rock Hounds - BRC A,4,16,2,0.385,24,6,22,1,42,5,11,0.467,43,0.538,20,1.005,27,2,1,0,7,0,2,3.00,,,,6,,3.00,,0.125,,,,,
Michael,Heffer,6,Rock Hounds - BRC A,5,16,5,0.250,43,6,22,1,42,3,25,0.438,46,0.250,45,0.688,47,0,21,0,7,0,2,3.71,3,,,6,6,2.29,4,0.240,3,0.875,33,2,29
Willem,Spiegelberg,15,Rock Hounds - BRC A,5,17,3,0.615,8,12,1,9,1,8,1,0.706,9,0.692,12,1.398,11,1,7,0,7,0,2,2.10,,,,4,,2.40,,0.308,,0.905,28,17,3
Mason,Trent,17,Rock Hounds - BRC A,4,10,0,0.143,51,7,17,1,42,1,45,0.400,49,0.143,51,0.543,51,0,21,0,7,0,2,,,,,,,,,,,0.889,29,8,10
Bowen,Hardy,11,Rock Hounds - BRC A,4,11,0,0.750,1,4,44,6,5,6,6,0.818,2,1.000,2,1.818,2,2,1,0,7,0,2,,,,,,,,,,,0.750,40,3,28
Finley,Brummitt-Smyth,19,Rock Hounds - BRC A,2,2,0,0.000,,1,,0,,0,,0.000,,0.000,,0.000,,0,,0,,0,,,,,,,,,,,,,,,
Uriah,Big Plume,44,Rock Hounds - BRC A,5,11,1,0.333,27,3,47,2,31,3,25,0.455,44,0.333,34,0.788,41,0,21,0,7,0,2,5.25,,,,3,,2.25,,0.429,,0.800,37,4,22
Samuel,Richard,10,Rock Hounds - BRC A,5,14,0,0.500,14,6,22,3,21,6,6,0.571,27,0.667,13,1.238,17,0,21,1,2,0,2,,,,,,,,,,,0.857,34,12,5
Sawyer,Christensen,13,Lumberkings - BRC A,2,5,0,0.333,27,2,51,0,50,1,45,0.600,23,0.333,34,0.933,31,0,21,0,7,0,2,,,,,,,,,,,0.000,49,0,48
Espenn,Wright-Maerz,47,Lumberkings - BRC A,3,10,0,0.667,4,7,17,3,21,6,6,0.700,11,0.889,4,1.589,4,0,21,1,2,0,2,,,,,,,,,,,1.000,1,1,37
Peter,Hayduk,4,Lumberkings - BRC A,4,10,0,0.625,6,4,44,4,15,5,11,0.700,11,0.625,15,1.325,13,0,21,0,7,0,2,,,,,,,,,,,1.000,1,1,37
Hayden,Barkley,19,Lumberkings - BRC A,4,14,0,0.273,41,7,17,5,9,3,25,0.429,47,0.455,24,0.883,36,2,1,0,7,0,2,,,,,,,,,,,0.955,22,21,2
Walker,Balkwill,27,Lumberkings - BRC A,4,12,4,0.286,35,9,7,2,31,2,34,0.583,26,0.286,41,0.869,39,0,21,0,7,0,2,3.23,2,,,8,4,1.39,1,0.222,2,0.750,40,4,22
Noah,Melcher,11,Lumberkings - BRC A,3,9,0,0.556,12,2,51,5,9,5,11,0.556,29,0.778,6,1.333,12,0,21,1,2,0,2,,,,,,,,,,,1.000,1,7,12
Jenson,Morgan,22,Lumberkings - BRC A,4,9,0,0.286,35,3,47,5,9,2,34,0.444,45,0.286,41,0.730,45,0,21,0,7,0,2,,,,,,,,,,,1.000,1,4,22
Yuji,Moon,43,Lumberkings - BRC A,4,9,0,0.000,53,5,34,0,50,0,53,0.556,29,0.000,53,0.556,50,0,21,0,7,0,2,,,,,,,,,,,0.667,43,2,29
Kai,Walker,8,Lumberkings - BRC A,4,17,2,0.200,47,9,7,2,31,2,34,0.529,34,0.200,48,0.729,46,0,21,0,7,0,2,31.50,,,,2,,8.00,,0.538,,0.923,25,6,15
Kael,Slaney,12,Lumberkings - BRC A,4,14,4,0.400,23,10,4,2,31,2,34,0.786,3,0.400,31,1.186,19,0,21,0,7,0,2,17.77,9,,,4,9,4.62,9,0.409,9,0.889,29,8,10
Dax,Britton,21,Lumberkings - BRC A,3,13,2,0.700,3,5,34,7,2,7,3,0.769,4,0.700,11,1.469,7,0,21,0,7,0,2,21.00,,,,1,,4.50,,0.444,,,,,
Ryder,Donald,26,Lumberkings - BRC A,4,15,4,0.250,43,5,34,6,5,3,25,0.400,49,0.250,45,0.650,49,0,21,0,7,0,2,0.00,1,,,2,10,2.25,3,0.391,6,1.000,1,2,29
StJon,Maerz,18,Lumberkings - BRC A,3,8,2,0.200,47,6,22,4,15,1,45,0.500,36,0.600,17,1.100,21,0,21,1,2,0,2,24.50,,,,3,,5.00,,0.167,,0.500,48,1,37
Corbin,Evans,6,Lumberkings - BRC A,1,2,,0.500,,1,,0,,1,,0.500,,0.500,,1.000,,0,,0,,0,,,,,,,,,,,,,,,
Tyson,Bye,7,Lumberkings - BRC A,4,13,1,0.333,27,9,7,0,50,2,34,0.692,14,0.333,34,1.026,25,0,21,0,7,0,2,63.00,,,,1,,12.00,,0.692,,1.000,1,1,37
Eli,Sheldrake,6,Railriders - BRC A,4,13,0,0.500,14,7,17,3,21,4,19,0.692,14,0.500,21,1.192,18,0,21,0,7,0,2,,,,,,,,,,,0.944,23,32,1
Justin,Walker,4,Railriders - BRC A,4,16,1,0.385,24,8,15,5,9,5,11,0.500,36,0.462,23,0.962,30,1,7,0,7,0,2,28.00,,,,2,,5.00,,0.500,,,,,
Liam,O'Brien,8,Railriders - BRC A,4,14,0,0.455,19,5,34,5,9,5,11,0.571,27,0.455,24,1.026,25,0,21,0,7,0,2,,,,,,,,,,,0.750,40,1,37
Luke,Siemens,35,Railriders - BRC A,5,17,1,0.500,14,9,7,3,21,5,11,0.706,9,0.600,17,1.306,15,1,7,0,7,0,2,21.00,,,,1,,5.00,,0.500,,0.778,39,7,12
Bennett,Ree,21,Railriders - BRC A,4,16,5,0.667,4,12,1,6,5,8,1,0.750,5,1.333,1,2.083,1,2,1,3,1,0,2,14.00,8,1,1,10,2,3.80,8,0.400,7,0.923,25,9,8
Diego,Carlos,30,Railriders - BRC A,4,13,5,0.286,35,9,7,1,42,2,34,0.615,21,0.429,26,1.044,24,1,7,0,7,0,2,8.40,5,,,5,7,2.20,2,0.250,4,1.000,1,1,37
Jonah,Bassin,18,Railriders - BRC A,4,13,6,0.333,27,8,15,4,15,3,25,0.538,33,0.333,34,0.872,38,0,21,0,7,0,2,4.67,4,,,8,4,2.67,5,0.400,7,1.000,1,5,19
Beckett,Dickson,44,Railriders - BRC A,4,16,4,0.545,13,10,4,2,31,6,6,0.688,16,0.636,14,1.324,14,1,7,0,7,0,2,8.75,,1,,7,,3.75,,0.440,,0.545,47,4,22
Jack,Czember,13,Railriders - BRC A,4,15,1,0.083,52,5,34,0,50,1,45,0.267,54,0.083,52,0.350,54,0,21,0,7,0,2,25.20,,,,5,,7.20,,0.571,,0.909,27,10,7
Bronx,Jaworsky,9,Railriders - BRC A,3,9,0,0.200,47,5,34,3,21,1,45,0.556,29,0.200,48,0.756,44,0,21,0,7,0,2,,,,,,,,,,,1.000,1,1,37
Seth,Jayatillake,15,Railriders - BRC A,2,7,0,0.333,27,5,34,2,31,1,45,0.714,7,0.333,34,1.048,23,0,21,0,7,0,2,,,,,,,,,,,,,,
Blake,Thompson,48,Railriders - BRC A,4,13,0,0.286,35,9,7,1,42,2,34,0.615,21,0.286,41,0.901,34,0,21,0,7,0,2,0.00,,,,1,,0.00,,0.000,,1.000,1,2,29
Lyon,Clark,22,Railriders - BRC A,3,8,0,0.250,43,6,22,3,21,1,45,0.625,20,0.250,45,0.875,37,0,21,0,7,0,2,94.50,,,,0,,13.50,,0.600,,1.000,1,2,29
Kade,Cameron,7,Railriders - BRC A,3,10,0,0.500,14,3,47,7,2,4,19,0.600,23,0.875,5,1.475,6,0,21,0,7,1,1,,,,,,,,,,,0.667,43,0,48
